ID_cliente	Data_Compra	Quantia_Compra	Canal_Compra	Categoria_Produto
3447	2013-10-25	190.8	Marketplace	Beleza
2713	2014-05-03	347.3	Site	Vestuário
2028	2014-12-08	352.11	Loja Física	Eletrônicos
570	2015-03-28	158.58	Site	Beleza
2392	2015-03-10	263.57	Marketplace	Eletrônicos
964	2015-07-09	221.9	Loja Física	Eletrônicos
3199	2014-12-26	2877.31	App	Casa e Decoração
915	2013-07-21	98.94	Marketplace	Livros
2628	2014-02-04	1655.87	Site	Casa e Decoração
1921	2013-01-18	254.56	Loja Física	Esporte
335	2015-07-03	208.18	App	Vestuário
116	2013-07-08	75.6	Site	Esporte
2228	2013-09-03	26.66	Marketplace	Livros
2684	2014-01-14	271.92	App	Casa e Decoração
1645	2013-06-05	101.24	App	Beleza
2430	2014-10-25	920.54	App	Eletrônicos
1353	2014-11-13	2988.68	App	Vestuário
1550	2015-10-05	294.44	Marketplace	Vestuário
2263	2013-08-11	68.85	Site	Esporte
2252	2015-06-24	111.58	Loja Física	Eletrônicos
2009	2014-05-29	239.85	Marketplace	Vestuário
2278	2013-01-02	281.88	App	Vestuário
2462	2015-03-13	1808.99	Marketplace	Beleza
1537	2013-05-24	293.06	Marketplace	Eletrônicos
1995	2015-01-06	120.03	Loja Física	Livros
3491	2013-07-05	1223.0	App	Eletrônicos
2948	2014-08-17	204.9	Loja Física	Beleza
2307	2014-09-05	2148.47	App	Beleza
274	2015-06-16	380.9	Site	Eletrônicos
2518	2014-05-04	162.09	App	Beleza
1857	2015-07-10	290.98	App	Eletrônicos
1148	2013-03-29	139.49	Marketplace	Livros
3023	2013-11-02	383.47	Loja Física	Eletrônicos
2585	2015-09-29	2030.73	Loja Física	Vestuário
2467	2013-09-25	240.22	App	Eletrônicos
1603	2013-12-16	255.55	Loja Física	Eletrônicos
1750	2014-03-28	23.52	App	Livros
2370	2014-10-27	538.25	Site	Casa e Decoração
2936	2014-03-13	236.34	App	Eletrônicos
390	2013-10-17	234.54	App	Esporte
565	2014-05-14	279.93	Loja Física	Livros
2143	2013-11-20	243.76	Loja Física	Eletrônicos
616	2013-07-02	110.41	App	Beleza
2435	2015-09-02	216.94	App	Esporte
1580	2014-05-05	2826.65	Loja Física	Esporte
619	2015-10-21	195.25	App	Casa e Decoração
1482	2014-04-28	40.91	Loja Física	Esporte
1261	2015-11-06	44.6	Site	Casa e Decoração
194	2013-08-19	408.48	Marketplace	Beleza
600	2013-03-30	74.31	Site	Beleza
851	2015-07-18	69.49	Site	Vestuário
2765	2015-09-21	1641.73	Site	Livros
1567	2014-10-30	71.57	App	Vestuário
2743	2014-10-30	45.75	Marketplace	Vestuário
1321	2014-03-28	49.85	Loja Física	Beleza
486	2015-07-21	698.57	Marketplace	Livros
673	2015-01-05	2931.56	Site	Eletrônicos
2430	2013-05-03	985.69	Marketplace	Beleza
1479	2014-12-05	89.36	Site	Livros
3322	2013-12-15	186.09	Site	Eletrônicos
1462	2015-12-05	162.09	Marketplace	Beleza
947	2015-05-27	2261.3	App	Beleza
2033	2013-11-02	276.71	Marketplace	Eletrônicos
139	2015-08-22	228.04	Marketplace	Esporte
1389	2013-07-20	76.08	Loja Física	Livros
2572	2014-03-23	571.59	Loja Física	Eletrônicos
1689	2014-09-17	73.69	Loja Física	Beleza
1634	2013-10-11	443.39	App	Livros
1634	2013-01-03	437.17	App	Esporte
115	2015-05-23	388.8	Site	Livros
264	2014-11-19	114.33	App	Eletrônicos
353	2015-01-19	259.41	App	Vestuário
2269	2013-05-18	1770.12	Site	Casa e Decoração
815	2013-08-21	205.24	Site	Livros
2675	2014-10-19	125.23	Marketplace	Casa e Decoração
197	2015-02-03	123.21	Loja Física	Beleza
2492	2015-12-28	272.85	App	Livros
3292	2013-05-15	134.76	Loja Física	Eletrônicos
1378	2014-01-02	1007.44	Loja Física	Vestuário
936	2013-10-31	1589.72	Loja Física	Casa e Decoração
1474	2013-09-28	263.26	Loja Física	Casa e Decoração
655	2013-02-15	265.38	App	Beleza
2028	2014-10-31	1561.22	Marketplace	Beleza
1014	2013-09-28	136.27	App	Vestuário
1707	2014-08-14	237.83	App	Casa e Decoração
1601	2013-12-07	328.38	App	Vestuário
3408	2013-11-11	73.54	App	Esporte
419	2014-06-18	129.81	Loja Física	Livros
1070	2014-12-06	614.24	Site	Esporte
1004	2013-02-21	1332.77	Site	Beleza
3234	2013-11-16	15.58	App	Livros
2485	2015-08-29	135.96	Site	Esporte
2556	2015-06-25	202.41	Marketplace	Eletrônicos
467	2013-08-28	56.59	Site	Beleza
1246	2014-10-31	44.86	Site	Casa e Decoração
676	2013-06-21	175.37	Loja Física	Esporte
1390	2015-10-02	115.79	Loja Física	Livros
1256	2013-10-30	111.66	Marketplace	Casa e Decoração
52	2014-12-08	62.43	Loja Física	Vestuário
2554	2015-06-29	115.11	Marketplace	Casa e Decoração
558	2015-05-19	2240.1	Loja Física	Vestuário
723	2015-08-31	296.86	App	Eletrônicos
3247	2015-02-09	53.88	App	Beleza
596	2015-08-05	369.61	Site	Vestuário
645	2015-02-21	180.26	App	Esporte
1013	2015-08-08	90.62	Site	Casa e Decoração
1000	2015-08-26	105.88	App	Beleza
616	2014-05-17	18.84	Marketplace	Eletrônicos
2092	2015-01-11	1826.98	App	Livros
2401	2013-09-02	130.76	Loja Física	Casa e Decoração
558	2013-04-30	609.18	Site	Casa e Decoração
558	2014-07-13	1211.26	App	Eletrônicos
968	2015-12-21	337.53	Site	Livros
636	2013-07-13	95.83	App	Casa e Decoração
2907	2014-09-09	103.29	App	Eletrônicos
1859	2014-12-22	420.49	App	Casa e Decoração
2742	2015-04-24	121.88	Loja Física	Vestuário
533	2014-03-29	254.52	Loja Física	Beleza
1620	2013-06-06	526.38	Loja Física	Beleza
1199	2015-01-13	112.56	App	Vestuário
2492	2013-02-28	231.0	Site	Livros
479	2014-04-10	188.34	Loja Física	Beleza
2424	2013-08-17	25.49	Marketplace	Eletrônicos
678	2013-03-09	406.87	Loja Física	Beleza
380	2014-06-03	41.69	Loja Física	Eletrônicos
2755	2014-02-25	1845.29	App	Eletrônicos
301	2014-07-23	476.96	Site	Esporte
2752	2014-05-11	83.16	Loja Física	Esporte
749	2014-01-28	145.18	Loja Física	Livros
322	2014-03-15	2777.34	Marketplace	Casa e Decoração
2457	2014-01-15	1431.06	Site	Casa e Decoração
3440	2015-05-19	87.85	Loja Física	Casa e Decoração
404	2013-08-14	283.88	App	Livros
964	2013-03-25	87.01	Marketplace	Casa e Decoração
1605	2014-10-01	215.5	Site	Esporte
1444	2015-05-27	80.97	Marketplace	Livros
1288	2013-01-27	499.43	Loja Física	Beleza
1546	2013-06-24	103.65	Loja Física	Livros
3219	2013-12-12	23.74	App	Vestuário
2074	2015-04-08	31.57	Marketplace	Casa e Decoração
2687	2014-07-14	234.2	Marketplace	Casa e Decoração
1680	2015-04-09	148.32	Site	Beleza
347	2014-05-29	1570.16	Site	Eletrônicos
322	2013-04-19	2524.87	Loja Física	Vestuário
1351	2014-11-01	35.62	Loja Física	Eletrônicos
2307	2015-12-01	2349.2	Site	Casa e Decoração
2311	2015-10-02	277.16	Loja Física	Eletrônicos
3473	2013-09-01	133.58	Marketplace	Beleza
1617	2013-03-09	38.88	App	Livros
558	2015-06-02	576.57	Marketplace	Eletrônicos
2005	2015-10-02	104.11	Marketplace	Beleza
1972	2013-11-17	278.01	Marketplace	Esporte
3391	2014-12-24	236.95	Loja Física	Eletrônicos
2060	2013-09-20	426.62	Loja Física	Livros
1172	2013-07-19	72.8	Marketplace	Casa e Decoração
200	2014-05-16	96.86	Loja Física	Livros
221	2014-09-17	520.52	App	Eletrônicos
1620	2015-05-16	1790.54	App	Eletrônicos
2451	2013-02-15	296.16	Marketplace	Casa e Decoração
2012	2015-09-28	480.16	App	Beleza
1773	2014-11-27	37.49	Marketplace	Vestuário
1748	2013-06-04	128.45	App	Casa e Decoração
171	2015-04-04	412.07	Loja Física	Livros
2952	2013-07-14	1857.22	Marketplace	Beleza
726	2013-06-07	2024.3	App	Beleza
2316	2014-10-04	140.03	Marketplace	Livros
2681	2014-01-05	267.84	Site	Esporte
1760	2015-08-16	102.34	Marketplace	Esporte
2550	2013-05-03	85.51	Site	Vestuário
521	2014-09-07	2563.54	Loja Física	Livros
707	2015-04-25	102.07	Site	Casa e Decoração
2406	2014-04-29	69.79	Site	Eletrônicos
840	2014-09-28	1499.65	Marketplace	Beleza
2268	2013-03-17	140.9	Loja Física	Casa e Decoração
2773	2014-07-23	2044.28	Loja Física	Livros
1716	2013-02-10	44.94	App	Esporte
995	2013-05-11	2721.61	App	Livros
2296	2013-07-04	137.16	Site	Vestuário
355	2015-10-22	2812.22	App	Beleza
3087	2014-05-03	191.95	App	Casa e Decoração
2919	2015-03-10	123.79	Marketplace	Vestuário
486	2013-12-25	799.5	Marketplace	Casa e Decoração
2995	2013-04-25	270.66	Loja Física	Casa e Decoração
1907	2015-08-31	107.17	Site	Casa e Decoração
1677	2015-01-24	251.77	Loja Física	Livros
2311	2013-04-22	360.81	Site	Casa e Decoração
1939	2014-09-26	337.53	Loja Física	Esporte
3009	2015-06-26	1287.72	Marketplace	Casa e Decoração
1003	2014-04-28	55.15	Site	Beleza
2199	2015-04-13	2410.09	Loja Física	Beleza
1661	2015-04-26	2794.19	Marketplace	Eletrônicos
2898	2014-06-19	1617.74	App	Beleza
2446	2013-04-17	203.17	Marketplace	Livros
447	2015-04-01	84.02	Loja Física	Eletrônicos
542	2015-11-24	2197.98	Site	Esporte
2400	2014-10-17	151.9	Site	Casa e Decoração
591	2014-11-02	409.79	Marketplace	Casa e Decoração
631	2015-02-12	2845.32	Site	Eletrônicos
3300	2014-04-14	458.08	Site	Casa e Decoração
2466	2013-12-12	21.72	App	Vestuário
295	2015-01-24	75.93	Loja Física	Livros
1835	2015-07-19	422.27	Site	Livros
704	2014-06-30	53.87	Site	Beleza
2978	2014-03-18	2986.58	Site	Beleza
623	2013-10-26	18.88	Site	Esporte
1582	2014-05-24	216.34	Marketplace	Eletrônicos
39	2013-09-30	442.15	Marketplace	Livros
732	2015-02-25	221.28	App	Eletrônicos
315	2013-05-01	44.07	Marketplace	Casa e Decoração
3491	2013-04-04	215.01	Marketplace	Casa e Decoração
3426	2015-01-30	65.7	Loja Física	Esporte
616	2013-12-14	83.01	Marketplace	Vestuário
297	2015-12-23	73.45	App	Eletrônicos
3431	2015-10-20	132.68	App	Beleza
951	2014-06-24	195.49	App	Esporte
1055	2013-12-04	1083.52	Site	Esporte
2970	2015-06-21	73.95	Site	Vestuário
128	2014-06-17	123.6	Loja Física	Beleza
144	2015-01-01	494.97	Marketplace	Beleza
355	2013-10-31	546.23	App	Vestuário
2931	2015-11-08	252.09	Site	Esporte
3495	2013-01-09	172.02	Marketplace	Eletrônicos
840	2015-10-18	2095.34	Loja Física	Casa e Decoração
2383	2013-09-07	136.43	Loja Física	Casa e Decoração
527	2013-06-16	257.1	Marketplace	Beleza
2193	2014-07-06	1863.77	Loja Física	Livros
2176	2015-07-17	1109.76	Site	Vestuário
2996	2014-08-03	58.63	Loja Física	Esporte
3318	2015-02-21	54.99	Site	Beleza
295	2014-03-03	73.99	App	Livros
2635	2013-11-12	62.56	Marketplace	Livros
2842	2014-09-28	456.68	App	Livros
316	2015-01-23	280.69	Marketplace	Beleza
909	2015-05-17	27.18	App	Esporte
645	2015-05-23	91.83	Marketplace	Livros
770	2013-11-14	2805.87	Loja Física	Casa e Decoração
1650	2013-06-12	137.47	Site	Vestuário
2395	2014-09-08	257.22	App	Esporte
